ФИО,Пол,Год поступления,Форма обучения,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Телефон,Поступил
Попов Дмитрий Иванович,М,2021,очная,,,66.3,,72.2,64.3,,78.7,72.1,Прикладная математика,"Москва, ул. Ленина, д. 177, кв. 30",+375676184723,True
Кузьмина Анна Владимировна,Ж,2021,очно-заочная,,,57.3,,70.7,82.0,,85.5,75.5,Прикладная математика,"Самара, ул. Советская, д. 73, кв. 30",+375173934835,True
Васильева Ирина Ивановна,Ж,2021,очная,,78.2,,53.9,,55.8,,76.6,68.9,Прикладная математика,"Краснодар, ул. Мира, д. 24, кв. 200",+375811437447,True
Иванов Максим Михайлович,М,2021,очная,,,66.9,70.9,,49.7,,86.6,69.0,Информатика и вычислительная техника,"Новосибирск, ул. Мира, д. 85, кв. 92",+375794155216,True
Смирнов Михаил Владимирович,М,2021,очно-заочная,,58.6,,61.7,,,49.5,67.5,58.8,Физика,"Самара, ул. Зелёная, д. 146, кв. 174",+375729659027,False
Егорова Мария Денисовна,Ж,2021,очная,,,67.4,,,68.4,51.3,69.6,66.8,Биология,"Нижний Новгород, ул. Строителей, д. 134, кв. 177",+375916375628,True
Соколова Виктория Ивановна,Ж,2021,очная,,64.2,,84.4,57.2,,,68.4,67.8,Экономика,"Нижний Новгород, ул. Центральная, д. 13, кв. 130",+375386631779,True
Лебедев Михаил Никитич,М,2021,очная,57.6,,,60.4,,40.0,,77.1,62.5,Информатика и вычислительная техника,"Самара, ул. Пролетарская, д. 164, кв. 78",+375883755037,False
Новиков Роман Денисович,М,2021,очно-заочная,,,57.8,73.6,,79.7,,84.2,74.6,История,"Казань, ул. Строителей, д. 134, кв. 96",+375102726149,True
Соколов Дмитрий Сергеевич,М,2021,очная,,57.4,52.1,,,,94.0,77.8,72.4,Прикладная математика,"Краснодар, ул. Зелёная, д. 169, кв. 151",+375827080869,True
Сидоров Андрей Алексеевич,М,2021,очно-заочная,65.7,64.8,,64.2,,,,76.5,68.6,Медицинская биохимия,"Самара, ул. Победы, д. 71, кв. 102",+375547226984,True
Соловьёва Светлана Сергеевна,Ж,2021,очная,,,60.1,,62.7,60.0,,74.1,65.6,Физика,"Нижний Новгород, ул. Советская, д. 195, кв. 91",+375879968460,True
Егорова Анна Алексеевна,Ж,2021,очная,59.4,61.7,59.3,,,,,86.4,67.9,Химия,"Москва, ул. Центральная, д. 53, кв. 193",+375805719838,True
Смирнов Андрей Иванович,М,2021,заочная,,,42.1,70.5,,,78.9,65.0,64.7,Биология,"Краснодар, ул. Победы, д. 163, кв. 181",+375598933472,True
Васильева Мария Алексеевна,Ж,2021,очно-заочная,59.9,,,60.9,,,46.2,72.7,59.7,Химия,"Краснодар, ул. Мира, д. 11, кв. 40",+375590947985,True
Козлов Егор Сергеевич,М,2021,заочная,49.5,,,,82.0,,72.4,85.0,72.8,История,"Екатеринбург, ул. Школьная, д. 85, кв. 93",+375439878015,True
Новиков Роман Сергеевич,М,2021,заочная,,,75.4,57.2,,57.6,,80.3,67.4,Химия,"Пермь, ул. Школьная, д. 132, кв. 131",+375770435811,True
Козлов Андрей Иванович,М,2021,очная,,55.4,,,,70.4,57.6,75.2,66.6,Медицинская биохимия,"Санкт-Петербург, ул. Мира, д. 7, кв. 118",+375501102481,True
Кузьмина Ольга Владимировна,Ж,2021,очная,,,,69.3,,67.3,56.6,84.4,72.0,Информатика и вычислительная техника,"Самара, ул. Советская, д. 194, кв. 191",+375901581449,True
Соколов Михаил Владимирович,М,2021,заочная,53.5,66.5,,68.8,,,,75.5,69.2,Химия,"Новосибирск, ул. Центральная, д. 174, кв. 187",+375508821009,True
Медведева Светлана Петровна,Ж,2021,очная,,,64.4,,,55.5,76.8,76.3,68.0,Физика,"Екатеринбург, ул. Пролетарская, д. 65, кв. 50",+375129087814,True
Морозова Ирина Сергеевна,Ж,2021,очно-заочная,,,55.1,76.0,,53.0,,68.9,65.6,Прикладная математика,"Нижний Новгород, ул. Зелёная, д. 116, кв. 85",+375949299556,False
Кузнецов Егор Сергеевич,М,2021,очно-заочная,,,51.8,66.4,,53.5,,87.9,67.8,Экономика,"Нижний Новгород, ул. Центральная, д. 125, кв. 142",+375129142834,True
Морозова Мария Ивановна,Ж,2021,заочная,44.0,,,,83.7,63.2,,76.8,68.4,Информатика и вычислительная техника,"Пермь, ул. Строителей, д. 121, кв. 168",+375256394278,True
Попов Никита Иванович,М,2021,очно-заочная,,61.1,,,64.4,,60.2,84.0,70.6,Физика,"Краснодар, ул. Школьная, д. 11, кв. 57",+375731453038,True
Егорова Александра Денисовна,Ж,2021,заочная,61.2,,70.2,,,,61.7,77.1,70.2,Химия,"Казань, ул. Пролетарская, д. 140, кв. 146",+375266591846,True
Медведева Ольга Владимировна,Ж,2021,очная,,,70.0,50.8,,,45.6,81.9,64.5,Физика,"Екатеринбург, ул. Советская, д. 132, кв. 165",+375432225913,False
Петров Егор Денисович,М,2021,очно-заочная,,62.3,,65.5,59.4,,,79.5,66.9,Информатика и вычислительная техника,"Самара, ул. Мира, д. 35, кв. 162",+375809202428,True
Баранова Виктория Ивановна,Ж,2021,заочная,,,63.1,,,53.4,67.0,71.5,66.3,Экономика,"Новосибирск, ул. Победы, д. 106, кв. 154",+375292984257,True
Павлова Мария Владимировна,Ж,2021,очная,68.3,51.1,,,,,76.1,80.2,70.9,Физика,"Новосибирск, ул. Зелёная, д. 158, кв. 154",+375088117298,True
Медведева Елена Владимировна,Ж,2021,очная,65.8,,,,78.2,80.5,,83.5,77.3,Медицинская биохимия,"Самара, ул. Советская, д. 109, кв. 35",+375473149864,True
Новиков Александр Петрович,М,2021,очная,,47.5,,49.4,,56.4,,77.6,60.1,Физика,"Самара, ул. Центральная, д. 67, кв. 138",+375695946368,False
Васильева Наталья Никитична,Ж,2021,очная,,,70.0,59.5,,64.8,,72.9,69.0,Физика,"Санкт-Петербург, ул. Победы, д. 115, кв. 180",+375213865890,True
Петров Александр Алексеевич,М,2021,очная,53.5,,,47.2,50.6,,,69.3,57.9,Информатика и вычислительная техника,"Воронеж, ул. Пролетарская, д. 168, кв. 134",+375490277038,False
Новиков Александр Сергеевич,М,2021,очная,51.6,,69.5,,,51.1,,93.2,71.0,Химия,"Нижний Новгород, ул. Новая, д. 104, кв. 151",+375380118489,True
Кузнецов Илья Сергеевич,М,2021,очная,66.5,,,64.9,51.5,,,81.6,68.2,Прикладная математика,"Нижний Новгород, ул. Советская, д. 132, кв. 66",+375894769735,False
Фёдорова Наталья Ивановна,Ж,2021,очная,59.6,,70.2,91.4,,,,76.8,76.0,Биология,"Воронеж, ул. Школьная, д. 133, кв. 138",+375043416518,True
Соловьёва Наталья Никитична,Ж,2021,очная,,80.0,58.8,,67.7,,,88.0,76.5,Экономика,"Екатеринбург, ул. Победы, д. 68, кв. 53",+375333952111,True
Баранова Наталья Ивановна,Ж,2021,очно-заочная,56.4,,,80.3,75.1,,,74.0,71.8,Химия,"Пермь, ул. Центральная, д. 102, кв. 57",+375920867808,True
Лебедев Максим Петрович,М,2021,очно-заочная,65.4,,70.8,71.0,,,,68.0,68.1,История,"Казань, ул. Мира, д. 141, кв. 68",+375347955276,True
Попов Егор Владимирович,М,2021,очная,,61.5,,,63.4,,66.4,81.1,71.0,Химия,"Пермь, ул. Новая, д. 98, кв. 51",+375227026728,True
Фёдорова Александра Михайловна,Ж,2021,очная,64.8,,,,52.6,,63.4,81.1,67.5,Химия,"Санкт-Петербург, ул. Зелёная, д. 191, кв. 86",+375455884506,True
Кузнецов Роман Алексеевич,М,2021,заочная,,,71.3,,,74.7,74.7,80.2,75.4,Прикладная математика,"Казань, ул. Зелёная, д. 162, кв. 38",+375256996112,True
Попов Егор Михайлович,М,2021,очно-заочная,,,,61.0,46.8,71.9,,78.6,67.4,История,"Пермь, ул. Зелёная, д. 106, кв. 43",+375202341326,True
Лебедев Дмитрий Иванович,М,2021,очная,62.8,,,52.4,49.0,,,83.7,64.1,Медицинская биохимия,"Екатеринбург, ул. Центральная, д. 114, кв. 161",+375228200557,False
Смирнов Андрей Денисович,М,2021,очная,,64.5,,,70.4,66.8,,77.6,71.0,Медицинская биохимия,"Пермь, ул. Центральная, д. 89, кв. 124",+375831745642,True
Козлов Александр Алексеевич,М,2021,очная,75.3,,,58.8,67.5,,,74.6,67.8,Химия,"Воронеж, ул. Центральная, д. 153, кв. 60",+375085368663,True
Соколов Никита Сергеевич,М,2021,очная,,59.8,,63.9,,67.4,,74.5,66.6,Химия,"Пермь, ул. Центральная, д. 106, кв. 49",+375122417974,True
Павлова Наталья Никитична,Ж,2021,очная,73.4,,,,51.1,,59.8,74.8,67.0,Экономика,"Екатеринбург, ул. Советская, д. 39, кв. 4",+375735647570,True
Иванов Максим Михайлович,М,2021,очно-заочная,75.3,,,69.9,71.8,,,68.5,72.3,Медицинская биохимия,"Санкт-Петербург, ул. Победы, д. 99, кв. 198",+375730371837,True
Попов Илья Алексеевич,М,2021,очная,66.9,,,,70.4,66.2,,83.8,72.9,Биология,"Москва, ул. Победы, д. 29, кв. 61",+375650249163,True
Новиков Александр Денисович,М,2021,очно-заочная,56.3,78.1,88.8,,,,,75.2,76.4,История,"Москва, ул. Ленина, д. 92, кв. 166",+375281273585,True
Павлова Наталья Ивановна,Ж,2021,очно-заочная,,57.1,73.9,,,81.9,,74.3,72.3,Химия,"Краснодар, ул. Победы, д. 146, кв. 48",+375855749821,True
Кузьмина Наталья Михайловна,Ж,2021,очная,58.6,,,58.0,45.7,,,71.9,61.4,История,"Екатеринбург, ул. Школьная, д. 185, кв. 17",+375863878294,True
Петров Егор Петрович,М,2021,очная,50.7,51.6,,,,,59.7,78.8,61.1,Биология,"Самара, ул. Новая, д. 169, кв. 126",+375899405391,False
Лебедев Сергей Петрович,М,2021,очная,80.1,,58.4,,,73.0,,76.1,73.6,История,"Москва, ул. Пролетарская, д. 69, кв. 136",+375014138113,True
Павлова Ольга Сергеевна,Ж,2021,очная,,62.7,,,66.8,54.2,,79.7,68.4,История,"Воронеж, ул. Советская, д. 43, кв. 47",+375868528975,True
