ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении
Козлов Илья Алексеевич,М,2021,очная,История,"Казань, ул. Пролетарская, д. 40, кв. 145",+375159868466,76.3,74.2,,,77.7,,,54.7,68.86666666666667,70.6
Егорова Ольга Владимировна,Ж,2021,очно-заочная,История,"Самара, ул. Школьная, д. 81, кв. 110",+375260895464,73.8,72.2,67.6,,58.0,,,,65.93333333333334,69.2
Новиков Максим Михайлович,М,2021,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Ленина, д. 81, кв. 64",+375949696229,80.2,,63.0,,,,52.0,62.2,59.06666666666666,65.9
Козлов Никита Иванович,М,2021,заочная,Биология,"Екатеринбург, ул. Новая, д. 71, кв. 93",+375255227769,82.7,,63.5,,51.2,77.6,,,64.10000000000001,71.9
Смирнов Илья Сергеевич,М,2021,очно-заочная,Химия,"Новосибирск, ул. Школьная, д. 123, кв. 119",+375332427628,78.6,,72.0,67.2,52.8,,,,64.0,71.0
Баранова Елена Никитична,Ж,2021,очная,Биология,"Краснодар, ул. Школьная, д. 199, кв. 79",+375486651857,77.0,,,,63.8,,66.5,79.1,69.8,74.1
Лебедев Михаил Денисович,М,2021,очная,Физика,"Краснодар, ул. Строителей, д. 28, кв. 45",+375040977081,71.5,,46.1,,58.8,,,63.0,55.96666666666667,60.1
Козлов Сергей Денисович,М,2021,заочная,Физика,"Самара, ул. Советская, д. 72, кв. 36",+375809838654,81.2,51.8,,62.9,,,,54.6,56.43333333333333,63.2
Петров Максим Михайлович,М,2021,очная,Химия,"Пермь, ул. Победы, д. 68, кв. 188",+375811827873,85.9,62.9,,52.5,,,,75.0,63.46666666666667,71.1
Баранова Светлана Никитична,Ж,2021,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Советская, д. 5, кв. 130",+375038129757,76.1,60.0,,,,56.9,,59.8,58.9,65.8
Кузнецов Дмитрий Михайлович,М,2021,заочная,Информатика и вычислительная техника,"Москва, ул. Пролетарская, д. 149, кв. 104",+375648351119,72.3,,64.1,63.8,62.2,,,,63.36666666666667,68.4
Павлова Ольга Алексеевна,Ж,2021,очно-заочная,История,"Самара, ул. Победы, д. 10, кв. 142",+375611862264,78.5,,60.0,,,42.2,74.1,,58.76666666666667,66.8
Соколова Анна Сергеевна,Ж,2021,очно-заочная,История,"Казань, ул. Строителей, д. 139, кв. 121",+375957802656,77.4,66.9,,58.9,,,,75.6,67.13333333333334,71.0
Новиков Михаил Петрович,М,2021,очная,Прикладная математика,"Новосибирск, ул. Школьная, д. 101, кв. 58",+375752160230,70.1,67.9,69.8,,,,59.6,,65.76666666666667,65.4
Егорова Наталья Сергеевна,Ж,2021,очно-заочная,Химия,"Самара, ул. Центральная, д. 35, кв. 119",+375492127565,74.4,,64.3,55.4,,,45.7,,55.133333333333326,63.2
Лебедев Никита Владимирович,М,2021,очная,Биология,"Пермь, ул. Строителей, д. 24, кв. 102",+375527665497,88.1,,54.8,61.6,,,52.5,,56.300000000000004,66.1
Васильева Ольга Ивановна,Ж,2021,очно-заочная,Медицинская биохимия,"Нижний Новгород, ул. Строителей, д. 3, кв. 170",+375488056266,69.3,,63.7,43.7,,68.8,,,58.73333333333333,60.7
Егорова Мария Сергеевна,Ж,2021,очная,Химия,"Екатеринбург, ул. Пролетарская, д. 176, кв. 43",+375160486617,73.3,55.9,59.4,,,,,64.8,60.03333333333333,66.1
Медведева Екатерина Денисовна,Ж,2021,очно-заочная,Прикладная математика,"Пермь, ул. Мира, д. 115, кв. 41",+375272961358,71.7,63.4,60.8,66.4,,,,,63.53333333333333,66.7
Козлов Александр Сергеевич,М,2021,заочная,История,"Новосибирск, ул. Пролетарская, д. 145, кв. 169",+375484970634,72.2,68.7,64.5,,,,47.5,,60.23333333333333,62.9
Фёдорова Мария Алексеевна,Ж,2021,очная,Химия,"Новосибирск, ул. Зелёная, д. 92, кв. 11",+375540818918,74.7,66.4,,,49.4,,69.8,,61.866666666666674,65.9
Козлов Михаил Никитич,М,2021,заочная,Химия,"Екатеринбург, ул. Зелёная, д. 60, кв. 17",+375585517264,80.1,,62.2,79.5,,,,72.5,71.39999999999999,72.8
Новиков Михаил Владимирович,М,2021,очная,История,"Казань, ул. Школьная, д. 60, кв. 11",+375207210372,85.3,,66.4,46.0,57.3,,,,56.56666666666666,67.2
Лебедев Андрей Алексеевич,М,2021,заочная,Экономика,"Екатеринбург, ул. Строителей, д. 93, кв. 100",+375038018126,78.6,,60.8,77.5,,,,73.2,70.5,72.5
Фёдорова Наталья Михайловна,Ж,2021,очно-заочная,Прикладная математика,"Краснодар, ул. Зелёная, д. 12, кв. 11",+375285280920,73.3,,,,50.1,68.2,,69.5,62.6,67.8
Кузьмина Ольга Денисовна,Ж,2021,очная,История,"Нижний Новгород, ул. Советская, д. 181, кв. 134",+375176118549,86.6,54.1,,,,,56.7,85.0,65.26666666666667,72.2
Смирнов Сергей Денисович,М,2021,очно-заочная,Информатика и вычислительная техника,"Казань, ул. Центральная, д. 149, кв. 140",+375586998317,65.0,,75.2,,,,70.1,65.9,70.4,68.5
Смирнов Дмитрий Сергеевич,М,2021,заочная,Биология,"Самара, ул. Мира, д. 97, кв. 168",+375383788930,81.4,,69.1,,50.8,74.7,,,64.86666666666666,68.9
Попов Илья Никитич,М,2021,очная,История,"Воронеж, ул. Школьная, д. 151, кв. 168",+375283464311,71.2,,,61.0,,,75.9,58.8,65.23333333333333,66.4
Морозова Светлана Алексеевна,Ж,2021,очная,Прикладная математика,"Санкт-Петербург, ул. Строителей, д. 65, кв. 97",+375399872842,77.1,,63.3,,72.0,69.4,,,68.23333333333333,72.0
Кузнецов Максим Владимирович,М,2021,очно-заочная,Физика,"Екатеринбург, ул. Строителей, д. 104, кв. 91",+375493749783,80.8,68.2,,,,53.0,78.2,,66.46666666666667,72.4
Павлова Екатерина Петровна,Ж,2021,заочная,Информатика и вычислительная техника,"Нижний Новгород, ул. Зелёная, д. 124, кв. 155",+375615766764,67.8,,57.6,79.9,,63.0,,,66.83333333333333,66.1
Соколов Никита Никитич,М,2021,очно-заочная,Физика,"Москва, ул. Строителей, д. 36, кв. 113",+375692468136,78.2,,71.5,65.1,,,,59.8,65.46666666666665,69.9
Фёдорова Светлана Владимировна,Ж,2021,очно-заочная,Медицинская биохимия,"Новосибирск, ул. Победы, д. 20, кв. 132",+375018969652,78.7,64.4,60.4,67.1,,,,,63.96666666666667,70.4
Кузнецов Александр Владимирович,М,2021,очная,История,"Казань, ул. Победы, д. 39, кв. 48",+375921534252,86.2,,68.0,,,49.7,,78.2,65.3,72.1
Новиков Никита Иванович,М,2021,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Школьная, д. 155, кв. 184",+375783862602,93.7,,51.4,,65.5,71.4,,,62.76666666666667,72.1
Соколов Роман Денисович,М,2021,очная,Биология,"Санкт-Петербург, ул. Победы, д. 107, кв. 85",+375536208572,68.1,74.4,,,64.1,,63.6,,67.36666666666666,67.4
Соловьёва Анна Михайловна,Ж,2021,очная,История,"Санкт-Петербург, ул. Зелёная, д. 173, кв. 123",+375713290691,85.9,,,,,72.6,68.6,69.7,70.3,76.2
Егорова Елена Сергеевна,Ж,2021,очная,Биология,"Краснодар, ул. Победы, д. 152, кв. 42",+375385716586,77.2,57.9,69.0,,,72.7,,,66.53333333333335,68.3
Кузнецов Михаил Михайлович,М,2021,очная,Экономика,"Воронеж, ул. Ленина, д. 63, кв. 12",+375079212529,72.5,,,,68.6,76.5,60.0,,68.36666666666666,69.2
Фёдорова Елена Ивановна,Ж,2021,очная,Химия,"Новосибирск, ул. Пролетарская, д. 152, кв. 42",+375457672356,79.6,,,70.0,54.0,56.2,,,60.06666666666666,67.3
Соловьёва Елена Владимировна,Ж,2021,очная,Физика,"Новосибирск, ул. Строителей, д. 11, кв. 147",+375807753225,69.6,,47.5,69.3,62.4,,,,59.73333333333333,65.0
Фёдорова Екатерина Алексеевна,Ж,2021,очно-заочная,Информатика и вычислительная техника,"Новосибирск, ул. Ленина, д. 43, кв. 67",+375760566894,69.9,,,71.8,,65.8,91.7,,76.43333333333334,73.8
Медведева Виктория Ивановна,Ж,2021,очная,Биология,"Новосибирск, ул. Строителей, д. 104, кв. 154",+375013480242,67.0,,,,53.6,,59.1,64.7,59.13333333333333,60.5
Новиков Никита Иванович,М,2021,очная,Прикладная математика,"Самара, ул. Ленина, д. 185, кв. 187",+375323073611,80.7,,,59.2,70.0,87.1,,,72.1,75.2
Соколов Дмитрий Алексеевич,М,2021,очная,Биология,"Казань, ул. Советская, д. 56, кв. 115",+375515136728,79.4,,,,48.1,68.0,64.6,,60.23333333333333,66.1
Васильева Наталья Ивановна,Ж,2021,очная,Прикладная математика,"Самара, ул. Зелёная, д. 124, кв. 44",+375177300181,72.5,59.4,60.9,,,,62.4,,60.9,63.8
Егорова Ирина Никитична,Ж,2021,очная,История,"Екатеринбург, ул. Новая, д. 154, кв. 37",+375156685751,86.5,,61.7,,84.4,,,72.6,72.9,78.0
Фёдорова Ольга Никитична,Ж,2021,очная,Информатика и вычислительная техника,"Самара, ул. Мира, д. 160, кв. 169",+375048734452,73.4,,51.7,,68.5,,,64.6,61.6,67.4
Соколов Егор Михайлович,М,2021,очная,Биология,"Пермь, ул. Центральная, д. 43, кв. 186",+375419009613,85.1,,69.2,64.4,71.9,,,,68.50000000000001,75.7
Смирнов Никита Петрович,М,2021,очно-заочная,Медицинская биохимия,"Нижний Новгород, ул. Зелёная, д. 153, кв. 152",+375461506844,78.1,,71.6,,79.8,74.7,,,75.36666666666666,75.1
Соколова Наталья Ивановна,Ж,2021,очная,Биология,"Санкт-Петербург, ул. Победы, д. 97, кв. 99",+375328478498,73.3,,,69.7,,,54.6,72.4,65.56666666666668,69.3
Павлова Александра Петровна,Ж,2021,очная,Экономика,"Новосибирск, ул. Советская, д. 5, кв. 52",+375183555165,76.7,60.1,55.5,,,75.0,,,63.53333333333333,67.1
Соколова Анна Сергеевна,Ж,2021,очная,Медицинская биохимия,"Пермь, ул. Строителей, д. 176, кв. 108",+375016000733,69.9,54.4,,49.9,,,,54.5,52.93333333333334,58.0
Соколова Ольга Алексеевна,Ж,2021,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Пролетарская, д. 25, кв. 46",+375109863516,78.7,,,69.6,67.5,64.5,,,67.2,72.9
